Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
PANW,,182.9,-1.17,33.68,12.18,Oversold,3.59,204.8092,210.08,,,-13.84,,,,,,Increasing,0.04,"Ticker
SPY   -12.06
dtype: float64",-6.7611,-3.0645,-3.6966,6.24,8.82,189.0331,231.8844,209.7285,187.5726,"vol↑, RSI low","{3: {'yhat': 190.17, 'yhat_lower': 184.0, 'yhat_upper': 195.81}, 5: {'yhat': 189.24, 'yhat_lower': 183.22, 'yhat_upper': 195.22}, 7: {'yhat': 187.35, 'yhat_lower': 180.87, 'yhat_upper': 192.97}, 14: {'yhat': 188.63, 'yhat_lower': 182.53, 'yhat_upper': 194.94}}",SELL,210.4932,True,-5.38,3.59,7.18,
MRNA,,23.72,6.08,32.4,42.21,Neutral,6.16,24.9343,25.1138,,,-3.34,,,,,,Decreasing,0.0031,"Ticker
SPY   -1.56
dtype: float64",-0.5965,-0.4127,-0.1839,18.1,21.26,30.2493,27.791,25.0325,22.274,RSI low,"{3: {'yhat': 24.86, 'yhat_lower': 22.58, 'yhat_upper': 27.07}, 5: {'yhat': 24.85, 'yhat_lower': 22.78, 'yhat_upper': 26.95}, 7: {'yhat': 24.76, 'yhat_lower': 22.67, 'yhat_upper': 26.93}, 14: {'yhat': 24.48, 'yhat_lower': 22.2, 'yhat_upper': 26.56}}",SELL,24.9668,True,-9.24,6.16,12.32,
AAPL,,271.49,1.97,31.97,58.51,Neutral,2.19,267.7144,269.5911,,,1.22,,,,,,Increasing,0.0909,"Ticker
SPY    3.0
dtype: float64",1.0447,2.0517,-1.007,30.0,22.76,225.8752,274.4385,269.9424,265.4463,"vol↑, above EMA20, positive ROC","{3: {'yhat': 267.39, 'yhat_lower': 260.52, 'yhat_upper': 273.68}, 5: {'yhat': 268.58, 'yhat_lower': 261.86, 'yhat_upper': 275.24}, 7: {'yhat': 269.14, 'yhat_lower': 261.91, 'yhat_upper': 275.4}, 14: {'yhat': 276.31, 'yhat_lower': 269.5, 'yhat_upper': 283.33}}",SELL,273.3422,True,-3.28,2.19,4.38,
CRM,,227.11,0.77,31.59,27.78,Oversold,3.29,240.4215,245.1381,,,-5.32,,,,,,Increasing,0.0028,"Ticker
SPY   -3.54
dtype: float64",-5.8709,-3.5776,-2.2933,8.96,8.6,274.6903,266.7112,244.6535,222.5958,"vol↑, RSI low","{3: {'yhat': 227.62, 'yhat_lower': 219.26, 'yhat_upper': 235.71}, 5: {'yhat': 228.42, 'yhat_lower': 220.85, 'yhat_upper': 236.12}, 7: {'yhat': 227.15, 'yhat_lower': 219.49, 'yhat_upper': 235.11}, 14: {'yhat': 233.71, 'yhat_lower': 225.39, 'yhat_upper': 241.35}}",SELL,239.6412,True,-4.94,3.29,6.58,
NFLX,,104.31,-1.29,31.23,29.66,Oversold,3.17,111.3719,110.5534,,,-5.49,,,,,,Increasing,0.0069,"Ticker
SPY   -3.71
dtype: float64",-1.7244,-1.024,-0.7004,11.56,29.89,107.1422,116.1836,110.6076,105.0317,"vol↑, RSI low","{3: {'yhat': 111.99, 'yhat_lower': 108.86, 'yhat_upper': 115.33}, 5: {'yhat': 113.0, 'yhat_lower': 109.57, 'yhat_upper': 116.3}, 7: {'yhat': 112.86, 'yhat_lower': 109.6, 'yhat_upper': 116.34}, 14: {'yhat': 114.2, 'yhat_lower': 111.03, 'yhat_upper': 117.31}}",SELL,107.8919,True,-4.76,3.17,6.34,
PFE,,25.04,2.62,30.01,53.14,Neutral,3.08,24.7975,24.6347,,,2.5,,,,,,Increasing,0.02,"Ticker
SPY    4.28
dtype: float64",0.1223,0.1697,-0.0473,37.67,43.81,23.9834,25.9285,24.6499,23.3712,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.0, 'yhat_lower': 24.36, 'yhat_upper': 25.61}, 5: {'yhat': 24.89, 'yhat_lower': 24.32, 'yhat_upper': 25.46}, 7: {'yhat': 24.8, 'yhat_lower': 24.22, 'yhat_upper': 25.43}, 14: {'yhat': 24.57, 'yhat_lower': 24.01, 'yhat_upper': 25.19}}",HOLD,24.5574,False,-4.62,3.08,6.16,
SLV,,45.3,-1.05,28.41,47.1,Neutral,2.9,45.3132,44.8252,,,3.14,,,,,,Increasing,0.027,"Ticker
SPY    4.92
dtype: float64",0.3577,0.4619,-0.1042,53.85,56.17,35.1333,48.1991,44.867,41.5349,"vol↑, positive ROC","{3: {'yhat': 47.72, 'yhat_lower': 46.81, 'yhat_upper': 48.68}, 5: {'yhat': 48.06, 'yhat_lower': 47.07, 'yhat_upper': 49.01}, 7: {'yhat': 48.12, 'yhat_lower': 47.18, 'yhat_upper': 49.12}, 14: {'yhat': 48.06, 'yhat_lower': 47.14, 'yhat_upper': 48.96}}",SELL,47.0301,True,-4.35,2.9,5.8,
SPY,,659.03,1.0,27.86,37.33,Neutral,1.59,669.2221,674.6667,,,-1.78,,,,,,Increasing,0.0417,"Ticker
SPY    0.0
dtype: float64",-4.6829,-1.7148,-2.9682,16.16,15.48,606.6672,695.0761,674.5375,653.9989,"vol↑, RSI low","{3: {'yhat': 659.67, 'yhat_lower': 650.19, 'yhat_upper': 668.83}, 5: {'yhat': 660.79, 'yhat_lower': 652.23, 'yhat_upper': 669.24}, 7: {'yhat': 659.5, 'yhat_lower': 650.86, 'yhat_upper': 668.95}, 14: {'yhat': 663.32, 'yhat_lower': 654.98, 'yhat_upper': 672.6}}",SELL,674.63,True,-2.39,1.59,3.18,
CVX,,149.98,-0.22,27.65,37.26,Neutral,1.88,152.532,152.8154,,,-2.17,,,,,,Increasing,0.0043,"Ticker
SPY   -0.39
dtype: float64",-0.5085,-0.0301,-0.4783,13.61,23.97,146.8134,156.068,152.764,149.4601,"vol↑, RSI low","{3: {'yhat': 152.78, 'yhat_lower': 149.69, 'yhat_upper': 156.07}, 5: {'yhat': 153.67, 'yhat_lower': 150.29, 'yhat_upper': 156.92}, 7: {'yhat': 153.9, 'yhat_lower': 150.68, 'yhat_upper': 157.33}, 14: {'yhat': 152.3, 'yhat_lower': 149.17, 'yhat_upper': 155.37}}",HOLD,150.208,False,-2.82,1.88,3.76,
QQQ,,590.07,0.75,27.21,31.88,Neutral,2.29,607.3785,615.4162,,,-3.23,,,,,,Increasing,0.0417,"Ticker
SPY   -1.45
dtype: float64",-6.8647,-2.7481,-4.1166,13.72,13.33,539.2899,644.6274,615.332,586.0366,"vol↑, RSI low","{3: {'yhat': 593.61, 'yhat_lower': 583.58, 'yhat_upper': 603.31}, 5: {'yhat': 595.63, 'yhat_lower': 586.57, 'yhat_upper': 604.57}, 7: {'yhat': 594.99, 'yhat_lower': 585.85, 'yhat_upper': 604.99}, 14: {'yhat': 604.95, 'yhat_lower': 596.13, 'yhat_upper': 614.77}}",SELL,616.4314,True,-3.44,2.29,4.58,
