Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
LLY,,1062.89,1.88,69.7,87.33,Overbought,3.09,966.0876,942.5079,,,15.15,0.0,,,,,,Increasing,1.0,16.75,47.2827,44.4664,2.8163,96.4,95.8,787.3298,1118.3202,948.4213,778.5225,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1095.6, 'yhat_lower': 1066.61, 'yhat_upper': 1128.61}, 5: {'yhat': 1107.55, 'yhat_lower': 1078.16, 'yhat_upper': 1140.16}, 7: {'yhat': 1108.37, 'yhat_lower': 1074.79, 'yhat_upper': 1141.07}, 14: {'yhat': 1112.66, 'yhat_lower': 1082.04, 'yhat_upper': 1143.02}}",SELL,965.8099,False,-4.64,3.09,6.18,
WMT,,104.945,-2.02,64.97,57.97,Neutral,2.11,103.2855,102.886,,,2.3,0.0,,,,,,Increasing,0.0263,3.9,0.2755,-0.188,0.4635,63.61,58.94,95.8303,105.6882,102.7217,99.7553,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.3, 'yhat_lower': 105.38, 'yhat_upper': 109.26}, 5: {'yhat': 108.74, 'yhat_lower': 106.9, 'yhat_upper': 110.64}, 7: {'yhat': 109.6, 'yhat_lower': 107.57, 'yhat_upper': 111.45}, 14: {'yhat': 112.01, 'yhat_lower': 110.13, 'yhat_upper': 114.05}}",HOLD,103.1523,False,-3.16,2.11,4.22,
DE,,488.205,2.49,58.62,72.46,Overbought,2.14,473.5297,473.2655,,,4.36,0.0,,,,,,Decreasing,0.0053,5.96,3.5062,2.8217,0.6845,77.3,70.51,471.8267,485.9802,473.2908,460.6013,"above EMA20, positive ROC","{3: {'yhat': 480.1, 'yhat_lower': 469.84, 'yhat_upper': 491.8}, 5: {'yhat': 480.72, 'yhat_lower': 470.32, 'yhat_upper': 492.27}, 7: {'yhat': 481.49, 'yhat_lower': 469.6, 'yhat_upper': 493.07}, 14: {'yhat': 480.95, 'yhat_lower': 470.11, 'yhat_upper': 491.7}}",HOLD,463.9743,False,-3.21,2.14,4.28,
GOOGL,,296.59,2.47,50.72,67.85,Neutral,3.69,280.5784,281.6333,,,6.37,0.0,,,,,,Increasing,1.0,7.97,5.7497,5.8402,-0.0906,63.92,62.29,195.8247,297.8102,282.719,267.6278,"vol↑, above EMA20, positive ROC","{3: {'yhat': 290.2, 'yhat_lower': 285.38, 'yhat_upper': 295.15}, 5: {'yhat': 291.96, 'yhat_lower': 287.33, 'yhat_upper': 296.75}, 7: {'yhat': 293.35, 'yhat_lower': 288.25, 'yhat_upper': 298.02}, 14: {'yhat': 302.08, 'yhat_lower': 297.33, 'yhat_upper': 307.21}}",HOLD,284.5426,False,-5.54,3.69,7.38,
SLV,,45.62,-0.35,44.14,49.89,Neutral,2.88,45.3437,44.8405,,,3.87,0.0,,,,,,Increasing,0.027,5.47,0.3933,0.469,-0.0757,55.57,56.74,35.1054,48.227,44.883,41.539,"vol↑, above EMA20, positive ROC","{3: {'yhat': 47.76, 'yhat_lower': 46.89, 'yhat_upper': 48.75}, 5: {'yhat': 48.1, 'yhat_lower': 47.21, 'yhat_upper': 49.08}, 7: {'yhat': 48.15, 'yhat_lower': 47.15, 'yhat_upper': 49.14}, 14: {'yhat': 48.06, 'yhat_lower': 47.14, 'yhat_upper': 48.97}}",SELL,47.0301,True,-4.32,2.88,5.76,
XOM,,117.04,0.02,44.13,52.24,Neutral,1.95,116.1391,115.8282,,,0.72,0.0,,,,,,Increasing,0.125,2.32,0.8923,1.0758,-0.1835,68.09,74.35,108.0545,120.3269,115.9001,111.4734,"vol↑, above EMA20, positive ROC","{3: {'yhat': 117.06, 'yhat_lower': 114.62, 'yhat_upper': 119.56}, 5: {'yhat': 116.81, 'yhat_lower': 114.47, 'yhat_upper': 119.24}, 7: {'yhat': 116.28, 'yhat_lower': 113.7, 'yhat_upper': 118.64}, 14: {'yhat': 113.06, 'yhat_lower': 110.66, 'yhat_upper': 115.65}}",HOLD,115.2367,False,-2.92,1.95,3.9,
ADBE,,323.6,3.59,39.5,43.42,Neutral,2.37,330.9617,334.2271,,,-1.02,0.0,,,,,,Decreasing,0.0028,0.58,-5.5571,-4.5897,-0.9674,17.75,12.53,390.9965,356.0287,333.2625,310.4963,RSI low,"{3: {'yhat': 332.57, 'yhat_lower': 319.86, 'yhat_upper': 347.04}, 5: {'yhat': 335.86, 'yhat_lower': 322.98, 'yhat_upper': 350.16}, 7: {'yhat': 335.88, 'yhat_lower': 321.15, 'yhat_upper': 350.21}, 14: {'yhat': 336.46, 'yhat_lower': 323.04, 'yhat_upper': 349.77}}",SELL,326.0641,True,-3.56,2.37,4.74,
COST,,896.47,0.36,38.6,34.4,Neutral,1.73,913.8668,916.8245,,,-2.85,0.0,,,,,,Increasing,0.0035,-1.25,-8.4887,-5.6632,-2.8255,27.32,19.06,960.4144,943.6932,916.1246,888.556,"vol↑, RSI low","{3: {'yhat': 916.28, 'yhat_lower': 898.05, 'yhat_upper': 934.97}, 5: {'yhat': 921.68, 'yhat_lower': 904.17, 'yhat_upper': 939.8}, 7: {'yhat': 925.08, 'yhat_lower': 905.8, 'yhat_upper': 942.74}, 14: {'yhat': 941.02, 'yhat_lower': 923.08, 'yhat_upper': 960.41}}",HOLD,900.79,False,-2.6,1.73,3.46,
GLD,,375.8096,0.26,37.54,52.63,Neutral,1.7,373.8226,372.2305,,,2.04,0.0,,,,,,Decreasing,0.0303,3.64,0.9665,1.2768,-0.3103,51.57,49.04,315.6657,385.2224,371.966,358.7096,"above EMA20, positive ROC","{3: {'yhat': 383.96, 'yhat_lower': 378.81, 'yhat_upper': 389.84}, 5: {'yhat': 385.47, 'yhat_lower': 380.24, 'yhat_upper': 391.27}, 7: {'yhat': 385.84, 'yhat_lower': 379.87, 'yhat_upper': 391.66}, 14: {'yhat': 384.78, 'yhat_lower': 379.34, 'yhat_upper': 390.19}}",SELL,384.9149,True,-2.55,1.7,3.4,
COIN,,241.99,1.61,36.75,21.97,Oversold,8.12,291.5082,305.2224,,,-21.72,0.0,,,,,,Decreasing,0.0079,-20.12,-22.2632,-16.5244,-5.7389,7.49,6.1,290.9059,376.5849,302.7605,228.9361,RSI low,"{3: {'yhat': 250.71, 'yhat_lower': 232.33, 'yhat_upper': 269.55}, 5: {'yhat': 251.32, 'yhat_lower': 233.67, 'yhat_upper': 269.58}, 7: {'yhat': 249.94, 'yhat_lower': 230.5, 'yhat_upper': 267.75}, 14: {'yhat': 253.11, 'yhat_lower': 235.02, 'yhat_upper': 272.66}}",SELL,300.4024,True,-12.18,8.12,16.24,
