Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
LLY,,1060.015,1.6,77.98,86.98,Overbought,3.08,965.8138,942.371,,,14.84,,,,,,,Increasing,1.0,16.46,46.9633,44.4025,2.5608,96.4,95.8,787.2826,1117.773,948.2776,778.7822,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1096.52, 'yhat_lower': 1066.75, 'yhat_upper': 1129.37}, 5: {'yhat': 1108.68, 'yhat_lower': 1077.91, 'yhat_upper': 1137.79}, 7: {'yhat': 1109.68, 'yhat_lower': 1078.12, 'yhat_upper': 1142.01}, 14: {'yhat': 1114.51, 'yhat_lower': 1084.93, 'yhat_upper': 1145.77}}",SELL,965.8099,False,-4.62,3.08,6.16,
WMT,,105.46,-1.54,70.2,60.6,Neutral,2.09,103.3345,102.9105,,,2.8,,,,,,,Increasing,0.0263,4.42,0.3327,-0.1765,0.5093,65.46,59.56,95.8273,105.8028,102.7475,99.6922,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.44, 'yhat_lower': 105.54, 'yhat_upper': 109.63}, 5: {'yhat': 108.9, 'yhat_lower': 107.03, 'yhat_upper': 110.86}, 7: {'yhat': 109.78, 'yhat_lower': 107.8, 'yhat_upper': 111.75}, 14: {'yhat': 112.21, 'yhat_lower': 110.28, 'yhat_upper': 114.3}}",HOLD,103.1581,False,-3.14,2.09,4.18,
DE,,489.54,2.77,60.89,73.54,Overbought,2.14,473.6568,473.3291,,,4.65,,,,,,,Decreasing,0.0053,6.27,3.6545,2.8513,0.8032,78.59,70.94,471.8252,486.3868,473.3575,460.3282,"above EMA20, positive ROC","{3: {'yhat': 480.1, 'yhat_lower': 469.62, 'yhat_upper': 491.66}, 5: {'yhat': 480.7, 'yhat_lower': 469.87, 'yhat_upper': 490.94}, 7: {'yhat': 481.47, 'yhat_lower': 470.36, 'yhat_upper': 492.85}, 14: {'yhat': 480.88, 'yhat_lower': 470.47, 'yhat_upper': 491.88}}",HOLD,463.9743,False,-3.21,2.14,4.28,
GOOGL,,296.135,2.31,55.24,67.47,Neutral,3.69,280.5351,281.6117,,,6.21,,,,,,,Increasing,1.0,7.83,5.6991,5.8301,-0.131,63.49,62.15,195.8058,297.7006,282.6963,267.6919,"vol↑, above EMA20, positive ROC","{3: {'yhat': 290.26, 'yhat_lower': 285.55, 'yhat_upper': 295.7}, 5: {'yhat': 292.03, 'yhat_lower': 287.39, 'yhat_upper': 296.89}, 7: {'yhat': 293.42, 'yhat_lower': 288.53, 'yhat_upper': 298.32}, 14: {'yhat': 302.19, 'yhat_lower': 297.42, 'yhat_upper': 307.38}}",HOLD,284.5426,False,-5.54,3.69,7.38,
SLV,,45.58,-0.44,43.65,49.53,Neutral,2.88,45.3398,44.8386,,,3.78,,,,,,,Increasing,0.027,5.4,0.3888,0.4681,-0.0793,55.36,56.67,35.1024,48.2231,44.881,41.5389,"vol↑, above EMA20, positive ROC","{3: {'yhat': 47.72, 'yhat_lower': 46.83, 'yhat_upper': 48.7}, 5: {'yhat': 48.05, 'yhat_lower': 47.13, 'yhat_upper': 48.92}, 7: {'yhat': 48.1, 'yhat_lower': 47.16, 'yhat_upper': 49.07}, 14: {'yhat': 48.0, 'yhat_lower': 47.11, 'yhat_upper': 48.93}}",SELL,47.0301,True,-4.32,2.88,5.76,
XOM,,117.02,0.0,43.21,52.11,Neutral,1.94,116.1372,115.8273,,,0.7,,,,,,,Increasing,0.125,2.32,0.89,1.0754,-0.1853,68.01,74.33,108.0536,120.3248,115.8991,111.4735,"vol↑, above EMA20, positive ROC","{3: {'yhat': 116.9, 'yhat_lower': 114.52, 'yhat_upper': 119.65}, 5: {'yhat': 116.63, 'yhat_lower': 114.28, 'yhat_upper': 119.09}, 7: {'yhat': 116.06, 'yhat_lower': 113.59, 'yhat_upper': 118.54}, 14: {'yhat': 112.79, 'yhat_lower': 110.37, 'yhat_upper': 115.42}}",HOLD,115.2367,False,-2.91,1.94,3.88,
ADBE,,323.07,3.42,38.62,42.62,Neutral,2.35,330.9112,334.2019,,,-1.19,,,,,,,Decreasing,0.0028,0.43,-5.616,-4.6014,-1.0145,17.14,12.32,391.0077,356.0507,333.236,310.4213,RSI low,"{3: {'yhat': 332.38, 'yhat_lower': 319.39, 'yhat_upper': 346.72}, 5: {'yhat': 335.65, 'yhat_lower': 322.22, 'yhat_upper': 348.35}, 7: {'yhat': 335.63, 'yhat_lower': 321.86, 'yhat_upper': 349.74}, 14: {'yhat': 336.17, 'yhat_lower': 323.26, 'yhat_upper': 349.82}}",SELL,326.0641,True,-3.53,2.35,4.7,
COIN,,241.73,1.5,38.16,21.71,Oversold,8.13,291.4835,305.21,,,-21.81,,,,,,,Decreasing,0.0079,-20.19,-22.2921,-16.5301,-5.762,7.4,6.07,290.9132,376.617,302.7475,228.878,RSI low,"{3: {'yhat': 250.46, 'yhat_lower': 232.68, 'yhat_upper': 271.0}, 5: {'yhat': 251.04, 'yhat_lower': 233.54, 'yhat_upper': 269.41}, 7: {'yhat': 249.62, 'yhat_lower': 231.13, 'yhat_upper': 268.12}, 14: {'yhat': 252.72, 'yhat_lower': 234.71, 'yhat_upper': 272.34}}",SELL,300.4024,True,-12.2,8.13,16.26,
SMCI,,32.33,2.44,37.39,24.0,Oversold,8.51,39.8139,42.0271,,,-18.69,,,,,,,Decreasing,0.0087,-17.07,-3.9711,-3.5973,-0.3738,3.42,3.58,42.2574,56.8417,41.714,26.5863,RSI low,"{3: {'yhat': 37.49, 'yhat_lower': 33.78, 'yhat_upper': 41.58}, 5: {'yhat': 39.06, 'yhat_lower': 35.23, 'yhat_upper': 42.69}, 7: {'yhat': 39.51, 'yhat_lower': 35.58, 'yhat_upper': 43.54}, 14: {'yhat': 42.18, 'yhat_lower': 38.5, 'yhat_upper': 46.07}}",SELL,42.99,True,-12.76,8.51,17.02,
COST,,895.825,0.28,36.85,33.53,Neutral,1.73,913.8053,916.7938,,,-2.92,,,,,,,Increasing,0.0035,-1.3,-8.5604,-5.6775,-2.8828,27.02,18.96,960.4237,943.7591,916.0923,888.4256,"vol↑, RSI low","{3: {'yhat': 916.34, 'yhat_lower': 898.96, 'yhat_upper': 936.43}, 5: {'yhat': 921.77, 'yhat_lower': 904.66, 'yhat_upper': 939.73}, 7: {'yhat': 925.17, 'yhat_lower': 907.1, 'yhat_upper': 943.27}, 14: {'yhat': 941.19, 'yhat_lower': 923.59, 'yhat_upper': 960.38}}",SELL,900.79,True,-2.6,1.73,3.46,
GLD,,375.5,0.17,35.05,51.99,Neutral,1.7,373.7931,372.2157,,,1.95,,,,,,,Decreasing,0.0303,3.57,0.9321,1.2699,-0.3378,51.19,48.91,315.6583,385.1887,371.9505,358.7123,"above EMA20, positive ROC","{3: {'yhat': 383.91, 'yhat_lower': 378.64, 'yhat_upper': 389.72}, 5: {'yhat': 385.41, 'yhat_lower': 379.96, 'yhat_upper': 390.56}, 7: {'yhat': 385.78, 'yhat_lower': 380.19, 'yhat_upper': 391.5}, 14: {'yhat': 384.73, 'yhat_lower': 379.49, 'yhat_upper': 390.26}}",SELL,384.9149,True,-2.55,1.7,3.4,
ENPH,,27.44,5.05,34.1,37.5,Neutral,7.25,30.0986,30.5329,,,-9.2,,,,,,,Decreasing,0.0029,-7.58,-1.6487,-1.5239,-0.1248,7.83,4.65,44.0519,35.95,30.248,24.546,RSI low,"{3: {'yhat': 30.77, 'yhat_lower': 28.22, 'yhat_upper': 33.73}, 5: {'yhat': 30.64, 'yhat_lower': 28.13, 'yhat_upper': 33.28}, 7: {'yhat': 31.51, 'yhat_lower': 28.85, 'yhat_upper': 34.17}, 14: {'yhat': 33.81, 'yhat_lower': 31.22, 'yhat_upper': 36.63}}",SELL,28.8529,True,-10.88,7.25,14.5,
PANW,,183.49,-0.85,33.62,12.43,Oversold,3.58,204.8654,210.1081,,,-13.57,,,,,,,Increasing,0.04,-11.95,-6.6955,-3.0513,-3.6442,6.74,8.98,189.1284,231.7646,209.758,187.7514,"vol↑, RSI low","{3: {'yhat': 190.5, 'yhat_lower': 184.76, 'yhat_upper': 196.84}, 5: {'yhat': 189.63, 'yhat_lower': 183.69, 'yhat_upper': 195.24}, 7: {'yhat': 187.8, 'yhat_lower': 181.71, 'yhat_upper': 194.04}, 14: {'yhat': 189.2, 'yhat_lower': 183.49, 'yhat_upper': 195.23}}",SELL,210.4932,True,-5.37,3.58,7.16,
MRNA,,23.555,5.34,32.9,40.77,Neutral,6.16,24.9186,25.106,,,-4.01,,,,,,,Decreasing,0.0031,-2.39,-0.6149,-0.4163,-0.1985,16.91,20.86,30.2925,27.8003,25.0243,22.2482,RSI low,"{3: {'yhat': 25.33, 'yhat_lower': 23.29, 'yhat_upper': 27.68}, 5: {'yhat': 25.47, 'yhat_lower': 23.46, 'yhat_upper': 27.57}, 7: {'yhat': 25.55, 'yhat_lower': 23.43, 'yhat_upper': 27.67}, 14: {'yhat': 25.74, 'yhat_lower': 23.67, 'yhat_upper': 27.99}}",SELL,24.9675,True,-9.24,6.16,12.32,
PFE,,25.465,4.36,32.61,59.02,Neutral,3.02,24.838,24.6549,,,4.24,,,,,,,Increasing,0.02,5.86,0.1696,0.1791,-0.0096,42.84,45.53,23.9782,25.9905,24.6711,23.3517,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.24, 'yhat_lower': 24.68, 'yhat_upper': 25.82}, 5: {'yhat': 25.18, 'yhat_lower': 24.59, 'yhat_upper': 25.77}, 7: {'yhat': 25.14, 'yhat_lower': 24.56, 'yhat_upper': 25.73}, 14: {'yhat': 25.03, 'yhat_lower': 24.43, 'yhat_upper': 25.62}}",HOLD,24.5571,False,-4.53,3.02,6.04,
CRM,,226.235,0.38,32.4,25.45,Oversold,3.26,240.3382,245.0964,,,-5.69,,,,,,,Increasing,0.0028,-4.07,-5.9681,-3.597,-2.3711,8.18,8.34,275.0504,266.8169,244.6098,222.4026,"vol↑, RSI low","{3: {'yhat': 228.16, 'yhat_lower': 220.87, 'yhat_upper': 235.5}, 5: {'yhat': 229.14, 'yhat_lower': 221.29, 'yhat_upper': 237.35}, 7: {'yhat': 228.05, 'yhat_lower': 219.97, 'yhat_upper': 235.9}, 14: {'yhat': 235.15, 'yhat_lower': 227.61, 'yhat_upper': 242.87}}",SELL,239.6411,True,-4.89,3.26,6.52,
HD,,346.41,4.22,31.49,36.84,Neutral,2.61,362.8173,367.8267,,,-6.66,,,,,,,Increasing,0.0028,-5.04,-11.0296,-8.2816,-2.7479,12.22,6.57,378.884,400.5164,366.884,333.2516,"vol↑, RSI low","{3: {'yhat': 346.08, 'yhat_lower': 339.15, 'yhat_upper': 353.28}, 5: {'yhat': 345.46, 'yhat_lower': 338.13, 'yhat_upper': 352.71}, 7: {'yhat': 346.37, 'yhat_lower': 339.19, 'yhat_upper': 353.56}, 14: {'yhat': 348.05, 'yhat_lower': 340.6, 'yhat_upper': 355.27}}",SELL,352.4372,True,-3.92,2.61,5.22,
AAPL,,270.65,1.65,31.09,56.36,Neutral,2.15,267.6344,269.5511,,,0.91,,,,,,,Increasing,0.0909,2.53,0.9514,2.033,-1.0816,27.54,21.94,225.7744,274.3511,269.9004,265.4497,"vol↑, above EMA20, positive ROC","{3: {'yhat': 267.8, 'yhat_lower': 261.37, 'yhat_upper': 274.27}, 5: {'yhat': 269.13, 'yhat_lower': 262.2, 'yhat_upper': 276.37}, 7: {'yhat': 269.85, 'yhat_lower': 262.72, 'yhat_upper': 276.77}, 14: {'yhat': 277.49, 'yhat_lower': 270.84, 'yhat_upper': 284.3}}",SELL,273.3519,True,-3.22,2.15,4.3,
NFLX,,105.195,-0.45,30.77,31.25,Neutral,3.1,111.4562,110.5956,,,-4.69,,,,,,,Increasing,0.0069,-3.07,-1.6261,-1.0044,-0.6217,12.42,30.18,107.067,116.0278,110.6519,105.276,"vol↑, RSI low","{3: {'yhat': 111.97, 'yhat_lower': 108.87, 'yhat_upper': 115.19}, 5: {'yhat': 112.92, 'yhat_lower': 109.65, 'yhat_upper': 116.17}, 7: {'yhat': 112.74, 'yhat_lower': 109.53, 'yhat_upper': 115.95}, 14: {'yhat': 113.87, 'yhat_lower': 110.54, 'yhat_upper': 117.11}}",SELL,107.9302,True,-4.65,3.1,6.2,
MSTR,,174.585,-1.44,29.83,19.05,Oversold,9.76,227.0897,236.1021,,,-27.84,,,,,,,Increasing,0.0078,-26.22,-23.8981,-20.8465,-3.0516,6.58,9.05,341.5899,305.3656,233.4533,161.5409,"vol↑, RSI low","{3: {'yhat': 183.91, 'yhat_lower': 165.32, 'yhat_upper': 202.63}, 5: {'yhat': 185.56, 'yhat_lower': 165.53, 'yhat_upper': 206.5}, 7: {'yhat': 185.28, 'yhat_lower': 164.67, 'yhat_upper': 205.29}, 14: {'yhat': 189.96, 'yhat_lower': 170.74, 'yhat_upper': 209.67}}",SELL,213.1709,True,-14.64,9.76,19.52,
SPY,,660.03,1.15,27.47,38.87,Neutral,1.55,669.3173,674.7143,,,-1.63,,,,,,,Increasing,0.0417,-0.01,-4.5718,-1.6926,-2.8793,17.14,15.8,606.4171,694.9714,674.5875,654.2036,"vol↑, RSI low","{3: {'yhat': 661.05, 'yhat_lower': 652.64, 'yhat_upper': 669.78}, 5: {'yhat': 662.49, 'yhat_lower': 653.61, 'yhat_upper': 671.28}, 7: {'yhat': 661.57, 'yhat_lower': 652.86, 'yhat_upper': 670.28}, 14: {'yhat': 666.26, 'yhat_lower': 657.23, 'yhat_upper': 675.01}}",SELL,674.63,True,-2.33,1.55,3.1,
