Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
GRAL,,93.55,9.22,80.67,65.07,Neutral,9.91,83.6302,85.3957,,,17.82,0.0,,,,,,Increasing,1.0,"Ticker
SPY    19.6
dtype: float64",1.9876,1.5525,0.4352,65.71,55.49,41.61,93.329,85.196,77.063,"vol↑, above EMA20, positive ROC","{3: {'yhat': 88.99, 'yhat_lower': 85.26, 'yhat_upper': 92.66}, 5: {'yhat': 90.52, 'yhat_lower': 86.7, 'yhat_upper': 94.02}, 7: {'yhat': 92.01, 'yhat_lower': 88.41, 'yhat_upper': 95.69}, 14: {'yhat': 95.05, 'yhat_lower': 91.3, 'yhat_upper': 98.57}}",HOLD,93.5638,False,-14.86,9.91,19.82,
GOOGL,,299.66,3.53,80.62,70.19,Overbought,3.7,280.8708,281.7795,,,7.47,0.0,,,,,,Increasing,1.0,"Ticker
SPY    9.25
dtype: float64",6.0908,5.9085,0.1823,66.78,63.25,196.3988,298.6066,282.8725,267.1384,"vol↑, above EMA20, positive ROC","{3: {'yhat': 291.99, 'yhat_lower': 287.16, 'yhat_upper': 296.75}, 5: {'yhat': 294.07, 'yhat_lower': 289.05, 'yhat_upper': 299.15}, 7: {'yhat': 295.88, 'yhat_lower': 291.02, 'yhat_upper': 301.21}, 14: {'yhat': 305.42, 'yhat_lower': 300.31, 'yhat_upper': 310.35}}",HOLD,284.5426,False,-5.55,3.7,7.4,
FRO,,25.9,3.64,80.5,67.05,Neutral,3.19,24.6244,24.5129,,,9.47,0.0,,,,,,Increasing,1.0,"Ticker
SPY    11.25
dtype: float64",0.4634,0.3883,0.0751,79.61,80.96,18.1073,26.1318,24.5615,22.9912,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.11, 'yhat_lower': 24.32, 'yhat_upper': 25.84}, 5: {'yhat': 24.99, 'yhat_lower': 24.19, 'yhat_upper': 25.75}, 7: {'yhat': 24.8, 'yhat_lower': 24.03, 'yhat_upper': 25.54}, 14: {'yhat': 23.39, 'yhat_lower': 22.67, 'yhat_upper': 24.15}}",HOLD,24.4329,False,-4.78,3.19,6.38,
GOOG,,299.65,3.33,80.48,70.35,Overbought,3.65,281.3795,282.3224,,,7.13,0.0,,,,,,Increasing,1.0,"Ticker
SPY    8.91
dtype: float64",5.9963,5.8685,0.1279,65.88,62.72,197.1634,298.8365,283.413,267.9895,"vol↑, above EMA20, positive ROC","{3: {'yhat': 292.0, 'yhat_lower': 286.78, 'yhat_upper': 297.26}, 5: {'yhat': 294.07, 'yhat_lower': 288.91, 'yhat_upper': 298.87}, 7: {'yhat': 295.74, 'yhat_lower': 290.53, 'yhat_upper': 300.79}, 14: {'yhat': 305.16, 'yhat_lower': 300.28, 'yhat_upper': 310.05}}",HOLD,285.3012,False,-5.48,3.65,7.3,
GGLL,,93.35,7.0,80.09,69.27,Neutral,7.1,82.8479,83.3395,,,14.57,0.0,,,,,,Increasing,1.0,"Ticker
SPY    16.35
dtype: float64",3.2497,3.0893,0.1603,64.6,61.98,45.312,92.6835,83.936,75.1885,"vol↑, above EMA20, positive ROC","{3: {'yhat': 88.37, 'yhat_lower': 85.93, 'yhat_upper': 90.6}, 5: {'yhat': 89.21, 'yhat_lower': 86.92, 'yhat_upper': 91.68}, 7: {'yhat': 89.99, 'yhat_lower': 87.64, 'yhat_upper': 92.27}, 14: {'yhat': 94.3, 'yhat_lower': 91.96, 'yhat_upper': 96.56}}",HOLD,84.1214,False,-10.65,7.1,14.2,
GCT,,34.88,10.26,78.78,71.37,Overbought,7.23,30.5891,30.0176,,,5.35,0.0,,,,,,Increasing,1.0,"Ticker
SPY    7.13
dtype: float64",1.1247,0.8171,0.3076,77.53,69.99,21.899,35.2115,30.1015,24.9915,"vol↑, above EMA20, positive ROC","{3: {'yhat': 33.41, 'yhat_lower': 31.9, 'yhat_upper': 35.01}, 5: {'yhat': 33.67, 'yhat_lower': 32.12, 'yhat_upper': 35.22}, 7: {'yhat': 33.8, 'yhat_lower': 32.16, 'yhat_upper': 35.47}, 14: {'yhat': 32.82, 'yhat_lower': 31.13, 'yhat_upper': 34.48}}",HOLD,29.2052,False,-10.84,7.23,14.46,
ADPT,,18.61,14.03,78.05,78.58,Overbought,6.32,15.6344,15.9062,,,25.83,0.0,,,,,,Increasing,1.0,"Ticker
SPY    27.61
dtype: float64",0.1513,-0.2784,0.4297,67.75,42.42,10.5118,18.8419,15.8405,12.8391,"vol↑, above EMA20, positive ROC","{3: {'yhat': 15.83, 'yhat_lower': 15.21, 'yhat_upper': 16.5}, 5: {'yhat': 16.23, 'yhat_lower': 15.63, 'yhat_upper': 16.86}, 7: {'yhat': 16.64, 'yhat_lower': 15.93, 'yhat_upper': 17.24}, 14: {'yhat': 17.6, 'yhat_lower': 16.99, 'yhat_upper': 18.23}}",HOLD,16.219,False,-9.48,6.32,12.64,
TJX,,151.43,2.27,76.77,81.06,Overbought,1.99,145.2685,144.3404,,,5.02,0.0,,,,,,Increasing,1.0,"Ticker
SPY    6.8
dtype: float64",1.5885,1.0539,0.5347,75.58,71.43,128.4372,150.2303,144.4823,138.7344,"vol↑, above EMA20, positive ROC","{3: {'yhat': 149.57, 'yhat_lower': 147.56, 'yhat_upper': 151.57}, 5: {'yhat': 150.24, 'yhat_lower': 148.34, 'yhat_upper': 152.18}, 7: {'yhat': 150.2, 'yhat_lower': 148.29, 'yhat_upper': 152.22}, 14: {'yhat': 150.93, 'yhat_lower': 148.99, 'yhat_upper': 152.84}}",SELL,144.4346,False,-2.98,1.99,3.98,
NTRA,,230.63,2.25,76.5,85.06,Overbought,4.02,205.637,203.5205,,,15.56,0.0,,,,,,Increasing,1.0,"Ticker
SPY    17.34
dtype: float64",8.5322,6.313,2.2192,91.77,91.26,163.1015,226.0928,204.071,182.0492,"vol↑, above EMA20, positive ROC","{3: {'yhat': 228.64, 'yhat_lower': 223.42, 'yhat_upper': 233.4}, 5: {'yhat': 232.97, 'yhat_lower': 228.3, 'yhat_upper': 238.01}, 7: {'yhat': 235.65, 'yhat_lower': 230.61, 'yhat_upper': 240.34}, 14: {'yhat': 238.97, 'yhat_lower': 234.17, 'yhat_upper': 244.15}}",SELL,203.7474,False,-6.03,4.02,8.04,
ROST,,174.0,8.41,75.22,86.32,Overbought,2.11,161.1439,161.1738,,,8.02,0.0,,,,,,Increasing,1.0,"Ticker
SPY    9.8
dtype: float64",1.9297,1.2116,0.718,57.74,42.56,142.2666,167.918,161.395,154.872,"vol↑, above EMA20, positive ROC","{3: {'yhat': 165.51, 'yhat_lower': 162.17, 'yhat_upper': 169.11}, 5: {'yhat': 166.08, 'yhat_lower': 162.5, 'yhat_upper': 169.7}, 7: {'yhat': 165.76, 'yhat_lower': 162.57, 'yhat_upper': 169.19}, 14: {'yhat': 166.38, 'yhat_lower': 163.12, 'yhat_upper': 169.64}}",SELL,161.605,False,-3.16,2.11,4.22,
