Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
IQV,,224.845,3.56,75.17,70.51,Overbought,2.62,216.1164,216.7893,,,6.84,0.0,,,,,,Increasing,1.0,8.66,2.1637,2.0616,0.1022,61.18,52.81,179.0029,224.8765,216.6028,208.329,"vol↑, above EMA20, positive ROC","{3: {'yhat': 221.5, 'yhat_lower': 215.62, 'yhat_upper': 227.88}, 5: {'yhat': 222.5, 'yhat_lower': 216.59, 'yhat_upper': 228.29}, 7: {'yhat': 222.44, 'yhat_lower': 216.41, 'yhat_upper': 227.97}, 14: {'yhat': 222.29, 'yhat_lower': 216.56, 'yhat_upper': 228.51}}",HOLD,220.8258,False,-3.93,2.62,5.24,
XBI,,116.89,2.69,74.79,70.73,Overbought,2.44,112.0884,112.0133,,,7.28,0.0,,,,,,Increasing,1.0,9.1,1.691,1.5256,0.1654,79.73,81.8,90.0149,117.0818,112.1945,107.3072,"vol↑, above EMA20, positive ROC","{3: {'yhat': 117.92, 'yhat_lower': 115.95, 'yhat_upper': 119.79}, 5: {'yhat': 118.85, 'yhat_lower': 116.95, 'yhat_upper': 120.71}, 7: {'yhat': 119.25, 'yhat_lower': 117.25, 'yhat_upper': 121.12}, 14: {'yhat': 119.02, 'yhat_lower': 117.16, 'yhat_upper': 120.94}}",HOLD,114.9942,False,-3.66,2.44,4.88,
GILD,,127.66,2.14,74.68,63.82,Neutral,2.73,123.2874,122.4862,,,7.42,0.0,,,,,,Increasing,0.3333,9.24,1.7831,1.4506,0.3325,86.24,88.07,106.7471,129.0772,122.5635,116.0498,"vol↑, above EMA20, positive ROC","{3: {'yhat': 128.85, 'yhat_lower': 126.29, 'yhat_upper': 131.28}, 5: {'yhat': 129.46, 'yhat_lower': 126.97, 'yhat_upper': 131.96}, 7: {'yhat': 130.28, 'yhat_lower': 127.54, 'yhat_upper': 132.86}, 14: {'yhat': 131.5, 'yhat_lower': 129.01, 'yhat_upper': 134.15}}",HOLD,122.8962,False,-4.1,2.73,5.46,
GRAL,,92.69,8.22,74.48,64.11,Neutral,9.93,83.5483,85.3548,,,16.74,0.0,,,,,,Increasing,1.0,18.56,1.8921,1.5334,0.3587,64.5,55.09,41.3965,93.1072,85.153,77.1988,"vol↑, above EMA20, positive ROC","{3: {'yhat': 88.73, 'yhat_lower': 85.19, 'yhat_upper': 92.31}, 5: {'yhat': 90.2, 'yhat_lower': 86.72, 'yhat_upper': 93.74}, 7: {'yhat': 91.59, 'yhat_lower': 88.07, 'yhat_upper': 94.9}, 14: {'yhat': 94.46, 'yhat_lower': 90.67, 'yhat_upper': 97.91}}",SELL,93.5638,True,-14.9,9.93,19.86,
NVRI,,17.4,28.22,74.41,89.92,Overbought,5.72,13.3528,13.0619,,,42.74,0.0,,,,,,Increasing,1.0,44.56,0.6833,0.2828,0.4005,84.9,81.52,9.4988,15.3734,13.0455,10.7176,"vol↑, above EMA20, positive ROC","{3: {'yhat': 14.87, 'yhat_lower': 14.46, 'yhat_upper': 15.34}, 5: {'yhat': 15.17, 'yhat_lower': 14.72, 'yhat_upper': 15.6}, 7: {'yhat': 15.44, 'yhat_lower': 15.01, 'yhat_upper': 15.84}, 14: {'yhat': 15.75, 'yhat_lower': 15.31, 'yhat_upper': 16.18}}",SELL,13.045,False,-8.58,5.72,11.44,
DGX,,191.445,2.04,74.36,74.2,Overbought,2.22,184.6502,182.3526,,,6.65,0.0,,,,,,Increasing,1.0,8.47,2.0042,1.2109,0.7933,81.48,73.21,170.5005,192.7691,182.3613,171.9534,"vol↑, above EMA20, positive ROC","{3: {'yhat': 190.59, 'yhat_lower': 187.54, 'yhat_upper': 193.72}, 5: {'yhat': 189.88, 'yhat_lower': 186.75, 'yhat_upper': 193.03}, 7: {'yhat': 190.65, 'yhat_lower': 187.66, 'yhat_upper': 193.58}, 14: {'yhat': 188.17, 'yhat_lower': 185.19, 'yhat_upper': 191.28}}",HOLD,182.0702,False,-3.33,2.22,4.44,
CSCO,,76.4348,1.32,73.98,57.8,Neutral,2.91,74.3528,73.8821,,,7.55,0.0,,,,,,Increasing,0.3333,9.37,1.4112,1.3689,0.0423,67.0,73.44,63.7576,79.2964,74.0447,68.7931,"vol↑, above EMA20, positive ROC","{3: {'yhat': 78.17, 'yhat_lower': 76.98, 'yhat_upper': 79.53}, 5: {'yhat': 78.8, 'yhat_lower': 77.45, 'yhat_upper': 80.17}, 7: {'yhat': 78.99, 'yhat_lower': 77.78, 'yhat_upper': 80.34}, 14: {'yhat': 79.26, 'yhat_lower': 78.09, 'yhat_upper': 80.64}}",HOLD,74.195,False,-4.36,2.91,5.82,
IBB,,168.09,2.34,73.96,73.16,Overbought,2.02,161.4482,160.8105,,,6.57,0.0,,,,,,Increasing,1.0,8.39,2.6104,2.4673,0.1431,83.65,84.83,136.6991,168.904,161.093,153.282,"vol↑, above EMA20, positive ROC","{3: {'yhat': 169.89, 'yhat_lower': 167.44, 'yhat_upper': 172.33}, 5: {'yhat': 170.97, 'yhat_lower': 168.52, 'yhat_upper': 173.48}, 7: {'yhat': 171.45, 'yhat_lower': 169.02, 'yhat_upper': 173.84}, 14: {'yhat': 171.63, 'yhat_lower': 169.02, 'yhat_upper': 174.02}}",HOLD,163.517,False,-3.03,2.02,4.04,
IMNM,,18.67,6.62,73.9,69.21,Neutral,6.99,16.7743,16.6614,,,22.51,0.0,,,,,,Increasing,1.0,24.33,0.652,0.5627,0.0894,77.46,76.18,10.6363,18.7341,16.71,14.6859,"vol↑, above EMA20, positive ROC","{3: {'yhat': 20.17, 'yhat_lower': 19.53, 'yhat_upper': 20.79}, 5: {'yhat': 20.73, 'yhat_lower': 20.14, 'yhat_upper': 21.33}, 7: {'yhat': 21.21, 'yhat_lower': 20.58, 'yhat_upper': 21.78}, 14: {'yhat': 22.17, 'yhat_lower': 21.55, 'yhat_upper': 22.78}}",HOLD,17.9506,False,-10.48,6.99,13.98,
LABU,,143.29,7.87,73.79,69.91,Neutral,6.68,128.0945,127.79,,,21.82,0.0,,,,,,Increasing,1.0,23.64,5.0775,4.4223,0.6552,78.27,80.53,73.3879,143.7837,128.3325,112.8813,"vol↑, above EMA20, positive ROC","{3: {'yhat': 145.81, 'yhat_lower': 140.87, 'yhat_upper': 150.7}, 5: {'yhat': 148.34, 'yhat_lower': 143.56, 'yhat_upper': 153.1}, 7: {'yhat': 149.46, 'yhat_lower': 144.49, 'yhat_upper': 154.46}, 14: {'yhat': 147.96, 'yhat_lower': 143.17, 'yhat_upper': 152.85}}",HOLD,134.4221,False,-10.02,6.68,13.36,
