Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
GOOGL,,302.4038,4.48,74.42,72.02,Overbought,3.67,281.1321,281.9102,,,8.45,0.0,,,,,,Increasing,1.0,"Ticker
SPY    9.53
dtype: float64",6.3957,5.9694,0.4262,69.34,64.1,195.9841,299.3945,283.0097,266.6249,"vol↑, above EMA20, positive ROC","{3: {'yhat': 292.17, 'yhat_lower': 286.94, 'yhat_upper': 297.1}, 5: {'yhat': 294.14, 'yhat_lower': 289.26, 'yhat_upper': 299.06}, 7: {'yhat': 295.85, 'yhat_lower': 290.81, 'yhat_upper': 300.86}, 14: {'yhat': 304.89, 'yhat_lower': 300.02, 'yhat_upper': 309.79}}",HOLD,284.5426,False,-5.5,3.67,7.34,
LLY,,1065.62,2.14,69.6,87.65,Overbought,3.1,966.3476,942.6379,,,15.45,0.0,,,,,,Increasing,1.0,"Ticker
SPY    16.53
dtype: float64",47.5861,44.5271,3.059,96.58,95.86,787.5087,1118.8478,948.5578,778.2678,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1096.78, 'yhat_lower': 1065.57, 'yhat_upper': 1128.41}, 5: {'yhat': 1108.89, 'yhat_lower': 1078.64, 'yhat_upper': 1141.23}, 7: {'yhat': 1109.92, 'yhat_lower': 1076.37, 'yhat_upper': 1143.29}, 14: {'yhat': 1114.47, 'yhat_lower': 1081.79, 'yhat_upper': 1143.02}}",SELL,965.8099,False,-4.65,3.1,6.2,
WMT,,105.965,-1.07,68.02,63.43,Neutral,2.1,103.3826,102.9345,,,3.29,0.0,,,,,,Increasing,0.0263,"Ticker
SPY    4.37
dtype: float64",0.3888,-0.1653,0.5541,67.28,60.16,95.8466,105.9291,102.7727,99.6164,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.56, 'yhat_lower': 105.5, 'yhat_upper': 109.5}, 5: {'yhat': 109.03, 'yhat_lower': 107.1, 'yhat_upper': 110.96}, 7: {'yhat': 109.93, 'yhat_lower': 107.94, 'yhat_upper': 111.9}, 14: {'yhat': 112.37, 'yhat_lower': 110.45, 'yhat_upper': 114.3}}",HOLD,103.146,False,-3.15,2.1,4.2,
DE,,490.98,3.08,58.28,74.61,Overbought,2.14,473.794,473.3976,,,4.96,0.0,,,,,,Decreasing,0.0053,"Ticker
SPY    6.04
dtype: float64",3.8145,2.8833,0.9312,79.39,71.21,471.8392,486.8455,473.4295,460.0135,"above EMA20, positive ROC","{3: {'yhat': 480.91, 'yhat_lower': 469.72, 'yhat_upper': 492.25}, 5: {'yhat': 481.61, 'yhat_lower': 470.77, 'yhat_upper': 493.21}, 7: {'yhat': 482.52, 'yhat_lower': 470.49, 'yhat_upper': 494.48}, 14: {'yhat': 482.12, 'yhat_lower': 470.41, 'yhat_upper': 492.35}}",HOLD,463.9743,False,-3.21,2.14,4.28,
XOM,,117.29,0.23,45.08,53.75,Neutral,1.95,116.1629,115.8401,,,0.93,0.0,,,,,,Increasing,0.125,"Ticker
SPY    2.01
dtype: float64",0.92,1.0814,-0.1613,69.1,74.69,108.0582,120.3543,115.9126,111.4709,"vol↑, above EMA20, positive ROC","{3: {'yhat': 116.97, 'yhat_lower': 114.35, 'yhat_upper': 119.43}, 5: {'yhat': 116.7, 'yhat_lower': 114.26, 'yhat_upper': 119.16}, 7: {'yhat': 116.15, 'yhat_lower': 113.63, 'yhat_upper': 118.66}, 14: {'yhat': 112.89, 'yhat_lower': 110.45, 'yhat_upper': 115.34}}",HOLD,115.2367,False,-2.92,1.95,3.9,
SLV,,45.725,-0.12,44.92,50.88,Neutral,2.87,45.3537,44.8455,,,4.11,0.0,,,,,,Increasing,0.027,"Ticker
SPY    5.19
dtype: float64",0.4049,0.4713,-0.0664,56.14,56.93,35.1118,48.2374,44.8882,41.5391,"vol↑, above EMA20, positive ROC","{3: {'yhat': 47.82, 'yhat_lower': 46.88, 'yhat_upper': 48.77}, 5: {'yhat': 48.16, 'yhat_lower': 47.25, 'yhat_upper': 49.14}, 7: {'yhat': 48.23, 'yhat_lower': 47.22, 'yhat_upper': 49.24}, 14: {'yhat': 48.15, 'yhat_lower': 47.17, 'yhat_upper': 49.01}}",SELL,47.0301,True,-4.3,2.87,5.74,
GLD,,375.98,0.3,37.71,52.98,Neutral,1.7,373.8388,372.2386,,,2.08,0.0,,,,,,Decreasing,0.0303,"Ticker
SPY    3.16
dtype: float64",0.9854,1.2806,-0.2951,51.79,49.11,315.6894,385.2415,371.9745,358.7075,"above EMA20, positive ROC","{3: {'yhat': 384.02, 'yhat_lower': 378.26, 'yhat_upper': 389.45}, 5: {'yhat': 385.53, 'yhat_lower': 380.16, 'yhat_upper': 390.94}, 7: {'yhat': 385.92, 'yhat_lower': 380.38, 'yhat_upper': 391.43}, 14: {'yhat': 384.87, 'yhat_lower': 379.51, 'yhat_upper': 390.26}}",SELL,384.9149,True,-2.55,1.7,3.4,
ADBE,,326.455,4.5,37.31,47.4,Neutral,2.41,331.2336,334.3631,,,-0.15,0.0,,,,,,Decreasing,0.0028,"Ticker
SPY    0.93
dtype: float64",-5.2398,-4.5262,-0.7136,21.03,13.62,390.9521,355.951,333.4052,310.8595,,"{3: {'yhat': 333.58, 'yhat_lower': 319.83, 'yhat_upper': 347.51}, 5: {'yhat': 336.99, 'yhat_lower': 323.67, 'yhat_upper': 351.24}, 7: {'yhat': 337.17, 'yhat_lower': 322.39, 'yhat_upper': 351.86}, 14: {'yhat': 337.93, 'yhat_lower': 323.53, 'yhat_upper': 350.5}}",HOLD,326.0641,False,-3.62,2.41,4.82,
COIN,,243.6,2.28,36.27,23.53,Oversold,8.07,291.6616,305.2991,,,-21.2,0.0,,,,,,Decreasing,0.0079,"Ticker
SPY   -20.12
dtype: float64",-22.0843,-16.4886,-5.5958,8.06,6.29,290.8758,376.3894,302.841,229.2927,RSI low,"{3: {'yhat': 252.6, 'yhat_lower': 233.09, 'yhat_upper': 270.99}, 5: {'yhat': 253.5, 'yhat_lower': 235.29, 'yhat_upper': 271.83}, 7: {'yhat': 252.44, 'yhat_lower': 233.67, 'yhat_upper': 271.13}, 14: {'yhat': 256.2, 'yhat_lower': 238.03, 'yhat_upper': 274.47}}",SELL,300.4024,True,-12.1,8.07,16.14,
SMCI,,32.43,2.76,35.92,24.64,Oversold,8.49,39.8234,42.0319,,,-18.44,0.0,,,,,,Decreasing,0.0087,"Ticker
SPY   -17.36
dtype: float64",-3.96,-3.5951,-0.3649,3.6,3.64,42.2533,56.8337,41.719,26.6043,RSI low,"{3: {'yhat': 37.49, 'yhat_lower': 33.57, 'yhat_upper': 41.47}, 5: {'yhat': 39.07, 'yhat_lower': 35.26, 'yhat_upper': 43.13}, 7: {'yhat': 39.51, 'yhat_lower': 35.29, 'yhat_upper': 43.71}, 14: {'yhat': 42.17, 'yhat_lower': 38.06, 'yhat_upper': 45.76}}",SELL,42.99,True,-12.74,8.49,16.98,
