Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
GOOGL,,302.11,4.37,74.47,71.83,Overbought,3.67,281.1041,281.8962,,,8.35,0.0,,,,,,Increasing,1.0,"Ticker
SPY    9.52
dtype: float64",6.363,5.9629,0.4001,69.07,64.01,195.9752,299.3069,282.995,266.6831,"vol↑, above EMA20, positive ROC","{3: {'yhat': 291.65, 'yhat_lower': 286.76, 'yhat_upper': 296.91}, 5: {'yhat': 293.55, 'yhat_lower': 288.61, 'yhat_upper': 298.56}, 7: {'yhat': 295.17, 'yhat_lower': 289.95, 'yhat_upper': 300.25}, 14: {'yhat': 304.07, 'yhat_lower': 299.09, 'yhat_upper': 309.22}}",HOLD,284.5426,False,-5.5,3.67,7.34,
LLY,,1063.6801,1.95,69.68,87.42,Overbought,3.1,966.1628,942.5455,,,15.24,0.0,,,,,,Increasing,1.0,"Ticker
SPY    16.41
dtype: float64",47.3705,44.484,2.8865,96.23,95.75,787.4946,1118.472,948.4608,778.4496,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1096.36, 'yhat_lower': 1065.36, 'yhat_upper': 1127.98}, 5: {'yhat': 1108.41, 'yhat_lower': 1079.02, 'yhat_upper': 1140.95}, 7: {'yhat': 1109.36, 'yhat_lower': 1076.89, 'yhat_upper': 1140.01}, 14: {'yhat': 1113.85, 'yhat_lower': 1082.44, 'yhat_upper': 1145.49}}",SELL,965.8099,False,-4.65,3.1,6.2,
WMT,,105.78,-1.24,67.59,62.36,Neutral,2.1,103.365,102.9257,,,3.11,0.0,,,,,,Increasing,0.0263,"Ticker
SPY    4.28
dtype: float64",0.3683,-0.1694,0.5377,66.61,59.94,95.8454,105.8813,102.7635,99.6457,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.54, 'yhat_lower': 105.61, 'yhat_upper': 109.61}, 5: {'yhat': 109.01, 'yhat_lower': 107.06, 'yhat_upper': 110.98}, 7: {'yhat': 109.9, 'yhat_lower': 107.84, 'yhat_upper': 111.9}, 14: {'yhat': 112.34, 'yhat_lower': 110.38, 'yhat_upper': 114.38}}",HOLD,103.146,False,-3.15,2.1,4.2,
DE,,490.22,2.92,58.42,74.05,Overbought,2.14,473.7216,473.3614,,,4.79,0.0,,,,,,Decreasing,0.0053,"Ticker
SPY    5.96
dtype: float64",3.7301,2.8664,0.8637,78.77,71.01,471.8374,486.6009,473.3915,460.1821,"above EMA20, positive ROC","{3: {'yhat': 481.23, 'yhat_lower': 470.07, 'yhat_upper': 492.61}, 5: {'yhat': 482.0, 'yhat_lower': 471.42, 'yhat_upper': 493.72}, 7: {'yhat': 482.96, 'yhat_lower': 471.27, 'yhat_upper': 494.0}, 14: {'yhat': 482.73, 'yhat_lower': 471.42, 'yhat_upper': 494.13}}",HOLD,463.9743,False,-3.21,2.14,4.28,
SLV,,45.74,-0.09,45.04,51.03,Neutral,2.87,45.3551,44.8462,,,4.14,0.0,,,,,,Increasing,0.027,"Ticker
SPY    5.31
dtype: float64",0.4066,0.4717,-0.0651,56.22,56.96,35.1115,48.2389,44.889,41.5391,"vol↑, above EMA20, positive ROC","{3: {'yhat': 47.8, 'yhat_lower': 46.89, 'yhat_upper': 48.77}, 5: {'yhat': 48.14, 'yhat_lower': 47.22, 'yhat_upper': 49.07}, 7: {'yhat': 48.2, 'yhat_lower': 47.24, 'yhat_upper': 49.14}, 14: {'yhat': 48.12, 'yhat_lower': 47.19, 'yhat_upper': 49.07}}",SELL,47.0301,True,-4.3,2.87,5.74,
XOM,,117.18,0.14,44.68,53.1,Neutral,1.95,116.1524,115.8349,,,0.84,0.0,,,,,,Increasing,0.125,"Ticker
SPY    2.01
dtype: float64",0.9078,1.0789,-0.1711,68.65,74.54,108.0579,120.3419,115.9071,111.4724,"vol↑, above EMA20, positive ROC","{3: {'yhat': 117.13, 'yhat_lower': 114.64, 'yhat_upper': 119.67}, 5: {'yhat': 116.89, 'yhat_lower': 114.53, 'yhat_upper': 119.51}, 7: {'yhat': 116.37, 'yhat_lower': 113.76, 'yhat_upper': 118.83}, 14: {'yhat': 113.17, 'yhat_lower': 110.65, 'yhat_upper': 115.71}}",HOLD,115.2367,False,-2.92,1.95,3.9,
GLD,,376.295,0.39,38.04,53.61,Neutral,1.7,373.8688,372.2536,,,2.17,0.0,,,,,,Decreasing,0.0303,"Ticker
SPY    3.34
dtype: float64",1.0204,1.2876,-0.2671,52.18,49.24,315.6885,385.278,371.9903,358.7025,"above EMA20, positive ROC","{3: {'yhat': 384.21, 'yhat_lower': 378.74, 'yhat_upper': 390.08}, 5: {'yhat': 385.74, 'yhat_lower': 380.21, 'yhat_upper': 391.34}, 7: {'yhat': 386.16, 'yhat_lower': 380.32, 'yhat_upper': 391.84}, 14: {'yhat': 385.16, 'yhat_lower': 379.59, 'yhat_upper': 390.91}}",SELL,384.9149,True,-2.55,1.7,3.4,
ADBE,,326.19,4.41,37.53,47.06,Neutral,2.41,331.2084,334.3505,,,-0.23,0.0,,,,,,Decreasing,0.0028,"Ticker
SPY    0.94
dtype: float64",-5.2693,-4.5321,-0.7372,20.73,13.52,390.9549,355.9553,333.392,310.8287,,"{3: {'yhat': 333.57, 'yhat_lower': 320.05, 'yhat_upper': 347.36}, 5: {'yhat': 336.98, 'yhat_lower': 324.16, 'yhat_upper': 351.17}, 7: {'yhat': 337.15, 'yhat_lower': 322.99, 'yhat_upper': 350.52}, 14: {'yhat': 337.91, 'yhat_lower': 324.21, 'yhat_upper': 351.72}}",HOLD,326.0641,False,-3.62,2.41,4.82,
COIN,,243.9044,2.41,36.18,23.82,Oversold,8.06,291.6905,305.3135,,,-21.1,0.0,,,,,,Decreasing,0.0079,"Ticker
SPY   -19.93
dtype: float64",-22.0505,-16.4818,-5.5687,8.17,6.33,290.8781,376.3531,302.8562,229.3594,RSI low,"{3: {'yhat': 252.6, 'yhat_lower': 234.35, 'yhat_upper': 272.19}, 5: {'yhat': 253.49, 'yhat_lower': 235.06, 'yhat_upper': 272.16}, 7: {'yhat': 252.42, 'yhat_lower': 232.97, 'yhat_upper': 271.35}, 14: {'yhat': 256.14, 'yhat_lower': 237.57, 'yhat_upper': 275.35}}",SELL,300.4024,True,-12.09,8.06,16.12,
COST,,902.905,1.08,35.94,42.03,Neutral,1.71,914.4796,917.1309,,,-2.15,0.0,,,,,,Increasing,0.0035,"Ticker
SPY   -0.98
dtype: float64",-7.7737,-5.5202,-2.2535,30.33,20.06,960.3866,943.1869,916.4463,889.7058,"vol↑, RSI low","{3: {'yhat': 918.58, 'yhat_lower': 900.4, 'yhat_upper': 937.12}, 5: {'yhat': 924.24, 'yhat_lower': 907.01, 'yhat_upper': 943.32}, 7: {'yhat': 928.01, 'yhat_lower': 908.97, 'yhat_upper': 945.98}, 14: {'yhat': 944.35, 'yhat_lower': 925.94, 'yhat_upper': 962.91}}",HOLD,900.79,False,-2.56,1.71,3.42,
SMCI,,32.44,2.79,35.9,24.71,Oversold,8.49,39.8244,42.0324,,,-18.41,0.0,,,,,,Decreasing,0.0087,"Ticker
SPY   -17.24
dtype: float64",-3.9589,-3.5949,-0.364,3.62,3.65,42.2534,56.8329,41.7195,26.6061,RSI low,"{3: {'yhat': 37.11, 'yhat_lower': 33.35, 'yhat_upper': 41.16}, 5: {'yhat': 38.62, 'yhat_lower': 34.82, 'yhat_upper': 42.48}, 7: {'yhat': 39.0, 'yhat_lower': 34.99, 'yhat_upper': 42.91}, 14: {'yhat': 41.53, 'yhat_lower': 37.69, 'yhat_upper': 45.49}}",SELL,42.99,True,-12.74,8.49,16.98,
AAPL,,272.46,2.33,35.33,60.75,Neutral,2.18,267.8068,269.6373,,,1.58,0.0,,,,,,Increasing,0.0909,"Ticker
SPY    2.75
dtype: float64",1.1525,2.0732,-0.9207,32.84,23.71,225.8052,274.5773,269.9909,265.4045,"vol↑, above EMA20, positive ROC","{3: {'yhat': 268.35, 'yhat_lower': 261.49, 'yhat_upper': 275.35}, 5: {'yhat': 269.74, 'yhat_lower': 263.23, 'yhat_upper': 276.94}, 7: {'yhat': 270.55, 'yhat_lower': 263.36, 'yhat_upper': 277.33}, 14: {'yhat': 278.27, 'yhat_lower': 271.32, 'yhat_upper': 285.28}}",HOLD,273.3519,False,-3.27,2.18,4.36,
PFE,,25.205,3.3,33.72,55.61,Neutral,3.06,24.8132,24.6426,,,3.17,0.0,,,,,,Increasing,0.02,"Ticker
SPY    4.34
dtype: float64",0.1407,0.1733,-0.0327,39.68,44.48,23.9794,25.9494,24.6581,23.3668,"vol↑, above EMA20, positive ROC","{3: {'yhat': 25.16, 'yhat_lower': 24.59, 'yhat_upper': 25.77}, 5: {'yhat': 25.09, 'yhat_lower': 24.52, 'yhat_upper': 25.68}, 7: {'yhat': 25.04, 'yhat_lower': 24.43, 'yhat_upper': 25.63}, 14: {'yhat': 24.92, 'yhat_lower': 24.34, 'yhat_upper': 25.52}}",HOLD,24.5571,False,-4.59,3.06,6.12,
